time (s),Ground velocity (m/s),temp (C),humidity (%),pressure (hPa),conductivity (mSeimens/cm),Notes
0.403,0.0454545,22.12,62.73,1016.82,ovf,
0.45,-0.004545,22.18,62.77,1016.83,ovf,
0.483,0.0136364,22.18,62.77,1016.83,ovf,
0.521,-0.054545,22.18,62.77,1016.83,ovf,
0.57,-0.027273,22.23,62.77,1016.85,ovf,
0.618,0.0136364,22.23,62.77,1016.85,ovf,
0.667,0.0409091,22.27,62.73,1016.86,ovf,
0.716,0.0636364,22.27,62.73,1016.86,ovf,
0.765,-0.004545,22.3,62.74,1016.85,ovf,
0.814,-0.040909,22.3,62.74,1016.85,ovf,
0.863,-0.036364,22.32,62.69,1016.85,ovf,
0.916,-0.036364,22.32,62.69,1016.85,ovf,
0.961,0.0681818,22.34,62.75,1016.83,ovf,
1.009,0.0590909,22.34,62.75,1016.83,ovf,
1.058,0.0272727,22.35,62.75,1016.8,ovf,
1.107,-0.018182,22.35,62.75,1016.8,ovf,
1.157,-0.063636,22.37,62.69,1016.82,ovf,
1.206,-0.045455,22.37,62.69,1016.81,0.023,
1.256,0,22.38,62.75,1016.83,0.023,
1.307,0.0318182,22.38,62.72,1016.84,0.023,
1.358,0.0727273,22.38,62.72,1016.84,0.023,
1.41,0.0454545,22.39,62.7,1016.82,0.023,
1.464,0.05,22.39,62.7,1016.82,0.023,
1.511,-0.027273,22.4,62.75,1016.84,0.023,
1.562,-0.068182,22.4,62.75,1016.84,0.023,
1.613,-0.068182,22.4,62.81,1016.87,0.023,
1.665,-0.054545,22.4,62.81,1016.87,0.023,
1.715,0,22.41,62.77,1016.83,0.023,
1.766,0.0363636,22.41,62.77,1016.83,0.023,
1.817,0.0545455,22.41,62.69,1016.85,0.023,
1.868,0.0545455,22.41,62.69,1016.85,0.023,
1.918,-0.009091,22.41,62.7,1016.83,0.023,
1.97,-0.045455,22.41,62.7,1016.83,0.023,
2.026,-0.059091,22.42,62.71,1016.84,0.029,
2.072,-0.040909,22.42,62.71,1016.84,0.029,
2.123,-0.018182,22.42,62.71,1016.85,0.029,
2.173,0.0272727,22.42,62.71,1016.85,0.029,
2.225,0.05,22.42,62.76,1016.85,0.029,
2.276,0.05,22.42,62.76,1016.88,0.029,
2.327,0.0227273,22.43,62.71,1016.88,0.029,
2.377,-0.031818,22.43,62.67,1016.85,0.029,
2.428,-0.05,22.43,62.67,1016.85,0.029,
2.48,-0.063636,22.43,62.69,1016.81,0.029,
2.534,-0.063636,22.43,62.69,1016.81,0.029,
2.581,-0.004545,22.43,62.71,1016.84,0.029,
2.632,0.0272727,22.43,62.71,1016.84,0.029,
2.683,0.0590909,22.43,62.67,1016.85,0.029,
2.735,0.05,22.43,62.67,1016.85,0.029,
2.785,0.0136364,22.44,62.74,1016.86,0.029,
2.837,-0.040909,22.44,62.74,1016.86,0.026,
2.887,-0.081818,22.44,62.74,1016.86,0.026,
2.938,-0.063636,22.44,62.74,1016.86,0.026,
2.989,-0.031818,22.44,62.69,1016.88,0.026,
3.045,-0.018182,22.44,62.69,1016.88,0.026,
3.091,0.0363636,22.44,62.73,1016.85,0.026,
3.142,0.0590909,22.44,62.73,1016.85,0.026,
3.193,0.0227273,22.45,62.74,1016.84,0.026,
3.244,-0.004545,22.45,62.74,1016.84,0.026,
3.295,-0.031818,22.45,62.66,1016.84,0.026,
3.346,-0.081818,22.45,62.66,1016.84,0.026,
3.397,-0.045455,22.45,62.67,1016.83,0.026,
3.447,-0.040909,22.45,62.72,1016.86,0.026,
3.499,0.0272727,22.45,62.72,1016.86,0.026,
3.55,0.0545455,22.45,62.67,1016.83,0.026,
3.604,0.0636364,22.45,62.67,1016.83,0.026,
3.652,0.0363636,22.45,62.69,1016.87,0.026,
3.702,-0.027273,22.45,62.69,1016.87,0.026,
3.753,-0.054545,22.45,62.7,1016.86,0.026,
3.805,-0.090909,22.45,62.7,1016.86,0.026,
3.857,-0.054545,22.46,62.6,1016.85,0.026,
3.916,-0.090909,22.46,62.6,1016.85,0.026,
3.957,0.0363636,22.46,62.67,1016.86,0.026,
4.008,0.0681818,22.46,62.67,1016.86,0.026,
4.06,0.0454545,22.46,62.74,1016.85,0.026,
4.115,0.0454545,22.46,62.74,1016.85,0.026,
4.161,-0.027273,22.46,62.65,1016.87,0.026,
4.212,-0.05,22.46,62.65,1016.87,0.026,
4.263,-0.068182,22.45,62.67,1016.84,0.026,
4.315,-0.05,22.45,62.67,1016.84,0.026,
4.365,0.0136364,22.46,62.68,1016.84,0.026,
4.416,0.0454545,22.46,62.68,1016.84,0.026,
4.468,0.0681818,22.46,62.66,1016.84,0.026,
4.518,0.0409091,22.46,62.67,1016.87,0.026,
4.569,-0.004545,22.46,62.67,1016.87,0.026,
4.62,-0.036364,22.46,62.66,1016.87,0.026,
4.686,0.0181818,22.46,62.66,1016.87,0.026,
4.723,-0.040909,22.46,62.6,1016.85,0.026,
4.774,-0.018182,22.46,62.6,1016.85,0.026,
4.826,0.0318182,22.46,62.64,1016.85,0.026,
4.877,0.0636364,22.46,62.64,1016.85,0.026,
4.928,0.0545455,22.46,62.61,1016.86,0.026,
